stnm,rvnm,waterproof,warning,guarantee
寸滩,长江,--,180.5,183.5
武隆,长江,--,193,199.5
宜昌,长江,52,53,55.73
枝城,长江,48,49,51.75
沙市,长江,42,43,45
监利,长江,34.5,35.5,37.23
城陵矶(莲),长江,--,32.5,34.4
螺山,长江,31,32,34.01
汉口,长江,25,27.3,29.73
黄石,长江,22.8,24.5,27.5
码头镇,长江,20.5,21.5,24.5
九江,长江,19.5,20,23.25
三峡水库,长江,--,--,--
大通,长江,--,14.4,17.1
城陵矶(七),洞庭湖,--,32.5,34.55
湖口,鄱阳湖,--,19.5,22.5
湘潭,湘江,--,38,39.5
桃江,资水,--,39.2,42.3
桃源,沅水,--,42.5,45.4
石门,澧水,--,58.5,61
新江口,松滋河,43,44,45.77
沙道观,,43,44,45.21
管家铺,藕池河,37.5,38.5,39.5
康家岗,,37.5,38.5,39.87
弥陀寺,虎渡河,42,43,44.15
长湖,长湖,31.5,32.5,33
挖沟咀,洪湖,25.8,26.2,26.97
余家咀,刁汊湖,25,25.7,26.87
三洲,斧头湖,21.5,22.8,23.94
梁子镇,梁子湖,19,20.5,21.36
安康,汉江,--,--,--
白河,汉江,--,187,191
黄家港,汉江,--,--,--
襄阳,汉江,65.5,67,70
宜城,汉江,56.5,57.5,59.3
皇庄,汉江,47,48,50.62
沙洋,汉江,40.8,41.8,44.5
岳口,汉江,36.9,37.9,40.62
仙桃,汉江,34.1,35.1,36.2
汉川,汉江,28,29,31.69
丹江口水库,汉江,--,--,--
水布垭,清江,--,--,--
隔河岩,清江,--,--,--
河溶,沮漳河,47.5,48.5,50
潜江,东荆河,38.4,39.7,42.11
天门,汉北河,28.3,29.3,30
应城,大富水,27.5,29,33
花园,环水,--,37.5,39.95
孝感,环水,26.5,27.5,31
隔蒲潭,府河,29.5,30.5,33.5
卧龙潭,府澴河,26.5,27,29.69
阳新,富水,20,21.5,22.5
黄陂,滠水,25,26,29.31
李家集,倒水,26.3,28,30.73
柳子港,举水,28,29,33.11
马家潭,巴水,--,--,--
西河驿,蕲水,--,--,--
